INSTANCE_ID,IMAGE_ID,INSTANCET_YPE,INSTANCE_LAUNCH_TIME,AVALABITY_ZONE
i-0a459ad07fa3fdc23,ami-01eccbf80522b562b,t2.micro,2024-03-23 04:24:20+00:00,us-east-1a
i-0f7d76b5e40d0706e,ami-01eccbf80522b562b,t2.micro,2024-03-23 04:24:20+00:00,us-east-1a
